#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0482,Azelf,Psychic,270,151,181,2%,0%,ConfusionExtrasensory,Fire BlastFuture SightSwift
0483,Dialga,Steel Dragon,275,211,205,2%,4%,Dragon BreathMetal Claw,Draco MeteorIron HeadThunder
0483,Dialga Origin Forme,Steel Dragon,270,225,205,2%,4%,Dragon BreathMetal Claw,Draco MeteorIron HeadThunder
0484,Palkia,Water Dragon,280,215,189,2%,4%,Dragon BreathDragon Tail,Aqua TailDraco MeteorFire BlastHydro Pump
0484,Palkia Origin Forme,Water Dragon,286,223,189,2%,4%,Dragon BreathDragon Tail,Aqua TailDraco MeteorFire BlastHydro Pump
0485,Heatran,Fire Steel,251,213,209,2%,4%,Bug BiteFire Spin,Earth PowerFire BlastFlamethrowerIron HeadStone EdgeMagma Storm (legacy)
0486,Regigigas,Normal,287,210,221,2%,4%,Hidden PowerZen Headbutt,Focus BlastGiga ImpactThunderFrustration (Shadow)Return (Purified)
0487,Giratina Altered Forme,Ghost Dragon,187,225,284,2%,4%,Dragon BreathShadow Claw,Ancient PowerDragon ClawShadow SneakShadow Force (legacy)
0487,Giratina Origin Forme,Ghost Dragon,225,187,284,2%,4%,Dragon TailShadow Claw,Dragon PulseOminous WindShadow BallShadow Force (legacy)
0488,Cresselia,Psychic,152,258,260,2%,4%,ConfusionPsycho Cut,Aurora BeamFuture SightMoonblastGrass Knot (legacy)
0491,Darkrai,Dark,285,198,172,2%,0%,Feint AttackSnarl,Dark PulseFocus BlastShadow BallSludge Bomb (legacy)
0492,Shaymin Land Forme,Grass,210,210,225,100%,0%,Hidden PowerMagical LeafZen Headbutt,Energy BallGrass KnotSeed FlareSolar Beam
0492,Shaymin Sky Forme,Grass Flying,261,166,225,100%,0%,Hidden PowerMagical LeafZen Headbutt,Energy BallGrass KnotSeed FlareSolar Beam
0494,Victini,Psychic Fire,210,210,225,100%,0%,ConfusionQuick Attack,Focus BlastOverheatPsychicV-create
0495,Snivy,Grass,88,107,128,20%,10%,TackleVine Whip,Energy BallSeed BombWrap
0496,Servine,Grass,122,152,155,10%,10%,Iron TailVine Whip,Grass KnotLeaf TornadoWrap
0497,Serperior,Grass,161,204,181,5%,5%,Iron TailVine Whip,Aerial AceGrass KnotLeaf TornadoFrenzy Plant (Community Day)
0498,Tepig,Fire,115,85,163,20%,10%,EmberTackle,Body SlamFlame ChargeFlamethrower
0499,Pignite,Fire Fighting,173,106,207,10%,7%,EmberTackle,Flame ChargeFlamethrowerRock Tomb
0500,Emboar,Fire Fighting,235,127,242,5%,5%,EmberLow Kick,Flame ChargeFocus BlastHeat WaveRock SlideBlast Burn (Community Day)
0501,Oshawott,Water,117,85,146,20%,10%,TackleWater Gun,Aqua TailNight SlashWater Pulse
0502,Dewott,Water,159,116,181,10%,7%,Fury CutterWater Gun,Aqua TailWater PulseX-Scissor
0503,Samurott,Water,212,157,216,5%,5%,Fury CutterWaterfall,BlizzardHydro PumpLiquidationMegahornRazor ShellHydro Cannon (Community Day)
0503,Samurott Hisuian Samurott,Water Dark,218,152,207,5%,5%,Fury CutterSnarlWaterfall,Dark PulseIcy WindRazor ShellX-Scissor
0504,Patrat,Normal,98,73,128,50%,20%,BiteTackle,DigGrass KnotHyper FangFrustration (Shadow)Return (Purified)
0505,Watchog,Normal,165,139,155,20%,7%,BiteLow Kick,CrunchGrass KnotHyper FangFrustration (Shadow)Return (Purified)
0506,Lillipup,Normal,107,86,128,50%,20%,TackleTake Down,DigRock TombThunderbolt
0507,Herdier,Normal,145,126,163,25%,9%,LickTake Down,DigPlay RoughThunderbolt
0508,Stoutland,Normal,206,182,198,12.5%,5%,Ice FangLickTake Down,CrunchPlay RoughWild Charge
0509,Purrloin,Dark,98,73,121,50%,20%,ScratchSucker Punch,Dark PulseNight SlashPlay RoughFrustration (Shadow)Return (Purified)
0510,Liepard,Dark,187,106,162,20%,7%,CharmSnarl,Dark PulseGunk ShotPaybackPlay RoughFrustration (Shadow)Return (Purified)
0511,Pansage,Grass,104,94,137,50%,20%,ScratchVine Whip,CrunchEnergy BallSeed Bomb
0512,Simisage,Grass,206,133,181,20%,7%,BiteVine Whip,CrunchGrass KnotSolar Beam
0513,Pansear,Fire,104,94,137,50%,20%,Fire SpinScratch,CrunchFlame BurstFlame Charge
0514,Simisear,Fire,206,133,181,20%,7%,BiteFire Spin,CrunchFire BlastFlamethrower
0515,Panpour,Water,104,94,137,50%,20%,ScratchWater Gun,CrunchSurfWater Pulse
0516,Simipour,Water,206,133,181,20%,7%,BiteWater Gun,CrunchHydro PumpSurf
0517,Munna,Psychic,111,92,183,50%,20%,Charge BeamZen Headbutt,Dazzling GleamPsybeamPsyshock
0518,Musharna,Psychic,183,166,253,20%,7%,Charge BeamZen Headbutt,Dazzling GleamFuture SightPsyshock
0519,Pidove,Normal Flying,98,80,137,50%,20%,Air SlashQuick Attack,Aerial AceAir CutterHeat WaveFrustration (Shadow)Return (Purified)
0520,Tranquill,Normal Flying,144,107,158,25%,9%,Air SlashSteel Wing,Aerial AceHeat WaveSky AttackFrustration (Shadow)Return (Purified)
0521,Unfezant,Normal Flying,226,146,190,12.5%,5%,Air SlashSteel Wing,Heat WaveHyper BeamSky AttackFrustration (Shadow)Return (Purified)
0522,Blitzle,Electric,118,64,128,30%,10%,Quick AttackSpark,DischargeFlame ChargeThunderboltFrustration (Shadow)Return (Purified)
0523,Zebstrika,Electric,211,136,181,10%,7%,Low KickSpark,DischargeFlame ChargeWild ChargeFrustration (Shadow)Return (Purified)
0524,Roggenrola,Rock,121,110,146,50%,15%,Smack DownTackle,BulldozeRock BlastStone Edge
0525,Boldore,Rock,174,143,172,25%,7%,Mud-SlapSmack Down,BulldozeRock SlideStone Edge
0526,Gigalith,Rock,226,201,198,12.5%,5%,Mud-SlapSmack Down,Heavy SlamRock SlideSolar BeamSuperpowerMeteor Beam (Community Day)
0527,Woobat,Psychic Flying,107,85,163,50%,20%,Air SlashConfusion,Aerial AceAir CutterPsyshock
0528,Swoobat,Psychic Flying,161,119,167,20%,7%,Air SlashConfusion,Aerial AceFuture SightPsychicPsychic Fangs
0529,Drilbur,Ground,154,85,155,50%,20%,Mud-SlapScratch,DigDrill RunRock TombFrustration (Shadow)Return (Purified)
0530,Excadrill,Ground Steel,255,129,242,20%,7%,Metal ClawMud ShotMud-Slap,Drill RunEarthquakeIron HeadRock SlideScorching SandsFrustration (Shadow)Return (Purified)
0531,Audino,Normal,114,163,230,5%,5%,PoundZen Headbutt,Dazzling GleamDisarming VoiceHyper Beam
0532,Timburr,Fighting,134,87,181,50%,15%,Low KickPound,Brick BreakLow SweepRock Tomb
0533,Gurdurr,Fighting,180,134,198,25%,7%,Low KickPoison Jab,Brick BreakLow SweepStone Edge
0534,Conkeldurr,Fighting,243,158,233,12.5%,5%,CounterPoison Jab,Dynamic PunchFocus BlastStone EdgeBrutal Swing (Community Day)
0535,Tympole,Water,98,78,137,50%,15%,BubbleMud Shot,Mud BombSludge WaveWater Pulse
0536,Palpitoad,Water Ground,128,109,181,25%,7%,BubbleMud Shot,Earth PowerSludge WaveWater Pulse
0537,Seismitoad,Water Ground,188,150,233,12.5%,5%,BubbleMud Shot,Earth PowerMuddy WaterSludge Bomb
0538,Throh,Fighting,172,160,260,20%,7%,Low KickZen Headbutt,Body SlamFocus BlastLow SweepFrustration (Shadow)Return (Purified)
0539,Sawk,Fighting,231,153,181,20%,7%,Low KickPoison Jab,Body SlamFocus BlastLow SweepFrustration (Shadow)Return (Purified)
0540,Sewaddle,Bug Grass,96,124,128,50%,15%,Bug BiteStruggle Bug,Energy BallSeed BombSilver Wind
0541,Swadloon,Bug Grass,115,162,146,25%,7%,Bug BiteStruggle Bug,Bug BuzzEnergy BallSilver Wind
0542,Leavanny,Bug Grass,205,165,181,12.5%,5%,Bug BiteRazor Leaf,Leaf BladeLeaf StormSilver WindX-Scissor
0543,Venipede,Bug Poison,83,99,102,30%,10%,Bug BitePoison Sting,Gyro BallSignal BeamSludge Bomb
0544,Whirlipede,Bug Poison,100,173,120,15%,5%,Bug BitePoison Sting,Gyro BallSignal BeamSludge Bomb
0545,Scolipede,Bug Poison,203,175,155,20%,7%,Bug BitePoison Jab,Gyro BallMegahornSludge BombX-Scissor
0546,Cottonee,Grass Fairy,71,111,120,30%,10%,CharmRazor Leaf,Energy BallGrass KnotSeed Bomb
0547,Whimsicott,Grass Fairy,164,176,155,15%,5%,CharmFairy WindRazor Leaf,Grass KnotHurricaneMoonblastSeed Bomb
0548,Petilil,Grass,119,91,128,30%,10%,CharmHidden Power,Energy BallSeed Bomb
0549,Lilligant,Grass,214,155,172,15%,5%,CharmHidden PowerMagical Leaf,Hyper BeamPetal BlizzardSolar Beam
0550,Basculin Red-Striped Form,Water,189,129,172,20%,7%,TackleWater Gun,Aqua JetAqua TailMuddy Water
0550,Basculin Blue-Striped Form,Water,189,129,172,20%,7%,TackleWater Gun,Aqua JetAqua TailMuddy Water
0550,Basculin White-Striped Form,Water,189,129,172,20%,7%,TackleWater Gun,Aqua JetAqua TailMuddy Water
0551,Sandile,Ground Dark,132,69,137,50%,15%,BiteMud-Slap,BulldozeCrunchDig
0552,Krokorok,Ground Dark,155,90,155,25%,7%,BiteMud-Slap,BulldozeCrunchEarthquake
0553,Krookodile,Ground Dark,229,158,216,12.5%,5%,Mud-SlapSnarl,CrunchEarthquakeOutrage
0554,Darumaka,Fire,153,86,172,30%,9%,Fire FangTackle,Fire PunchFlame ChargeFrustration (Shadow)Return (Purified)
0554,Darumaka Galarian Darumaka,Ice,153,86,172,30%,9%,Ice FangTackle,Ice BeamIce PunchFrustration (Shadow)Return (Purified)
0555,Darmanitan Standard Mode,Fire,263,114,233,10%,7%,Fire FangIncinerateTackle,Focus BlastOverheatPsychicRock Slide
0555,Darmanitan Galarian Standard Mode,Ice,263,114,233,10%,7%,Ice FangTackle,AvalancheIce PunchOverheatSuperpower
0556,Maractus,Grass,201,130,181,20%,7%,Bullet SeedPoison Jab,Aerial AcePetal BlizzardSolar Beam
0557,Dwebble,Bug Rock,118,128,137,30%,10%,CutSmack Down,Rock BlastRock TombX-ScissorFrustration (Shadow)Return (Purified)
0558,Crustle,Bug Rock,188,200,172,10%,7%,Fury CutterSmack Down,Rock BlastRock SlideX-ScissorFrustration (Shadow)Return (Purified)
0559,Scraggy,Dark Fighting,132,132,137,30%,9%,Feint AttackRock Smash,Acid SprayBrick BreakFoul Play
0560,Scrafty,Dark Fighting,163,222,163,10%,7%,CounterSnarl,Acid SprayFoul PlayPower-Up Punch
0561,Sigilyph,Psychic Flying,204,167,176,20%,7%,Air SlashZen Headbutt,Air CutterAncient PowerPsybeamSignal Beam
0562,Yamask,Ghost,95,141,116,30%,10%,AstonishZen Headbutt,Dark PulseOminous WindShadow BallFrustration (Shadow)Return (Purified)
0562,Yamask Galarian Yamask,Ground Ghost,95,141,116,30%,10%,Astonish,Night ShadeRock TombFrustration (Shadow)Return (Purified)
0563,Cofagrigus,Ghost,163,237,151,10%,7%,AstonishShadow ClawZen Headbutt,Dark PulsePsychicShadow BallFrustration (Shadow)Return (Purified)
0564,Tirtouga,Water Rock,134,146,144,30%,10%,BiteWater Gun,Ancient PowerBody SlamSurf
0565,Carracosta,Water Rock,192,197,179,10%,7%,Rock ThrowWater Gun,Ancient PowerBody SlamLiquidationSurf
0566,Archen,Rock Flying,213,89,146,30%,9%,Quick AttackWing Attack,Ancient PowerCrunchDragon Claw
0567,Archeops,Rock Flying,292,139,181,10%,7%,Steel WingWing Attack,Ancient PowerCrunchDragon Claw
0568,Trubbish,Poison,96,122,137,30%,9%,PoundTake Down,Gunk ShotSeed Bomb
0569,Garbodor,Poison,181,164,190,10%,7%,InfestationTake Down,Acid SprayBody SlamGunk ShotSeed Bomb
0570,Zorua,Dark,153,78,120,30%,9%,Feint AttackScratch,Aerial AceDark PulseFoul Play
0571,Zoroark,Dark,250,127,155,10%,7%,Shadow ClawSnarl,FlamethrowerFoul PlaySludge Bomb
0572,Minccino,Normal,98,80,146,30%,10%,CharmPound,Aqua TailSwiftThunderbolt
0573,Cinccino,Normal,198,130,181,10%,7%,CharmPound,Aqua TailHyper BeamThunderbolt
0574,Gothita,Psychic,98,112,128,50%,15%,ConfusionPound,PsybeamPsychicPsyshock
0575,Gothorita,Psychic,137,153,155,25%,7%,ConfusionPound,Future SightPsybeamPsychic
0576,Gothitelle,Psychic,176,205,172,12.5%,5%,CharmConfusion,Future SightPsychicRock Slide
0577,Solosis,Psychic,170,83,128,50%,15%,Hidden PowerZen Headbutt,Night ShadePsyshockThunder
0578,Duosion,Psychic,208,103,163,25%,7%,Hidden PowerZen Headbutt,Night ShadePsyshockThunder
0579,Reuniclus,Psychic,214,148,242,12.5%,5%,Hidden PowerZen Headbutt,Future SightShadow BallThunder
0580,Ducklett,Water Flying,84,96,158,50%,15%,Water GunWing Attack,Aerial AceBrave BirdBubble BeamFrustration (Shadow)Return (Purified)
0581,Swanna,Water Flying,182,132,181,40%,12%,Air SlashWater Gun,Bubble BeamHurricaneIce BeamFrustration (Shadow)Return (Purified)
0582,Vanillite,Ice,118,106,113,40%,7%,AstonishPowder Snow,Ice BeamIcy WindSignal Beam
0583,Vanillish,Ice,151,138,139,5%,5%,AstonishFrost Breath,Ice BeamIcy WindSignal Beam
0584,Vanilluxe,Ice,218,184,174,12.5%,5%,AstonishFrost Breath,BlizzardFlash CannonSignal Beam
0585,Deerling Spring Form,Normal Grass,115,100,155,30%,0%,TackleTake Down,Energy BallSeed BombTrailblazeWild Charge
0585,Deerling Autumn Form,Normal Grass,115,100,155,30%,0%,TackleTake Down,Energy BallSeed BombTrailblazeWild Charge
0585,Deerling Summer Form,Normal Grass,115,100,155,30%,0%,TackleTake Down,Energy BallSeed BombTrailblazeWild Charge
0585,Deerling Winter Form,Normal Grass,115,100,155,30%,0%,TackleTake Down,Energy BallSeed BombTrailblazeWild Charge
0586,Sawsbuck Spring Form,Normal Grass,198,146,190,15%,0%,Feint AttackTake Down,Hyper BeamMegahornSolar BeamTrailblazeWild Charge
0586,Sawsbuck Autumn Form,Normal Grass,198,146,190,15%,0%,Feint AttackTake Down,Hyper BeamMegahornSolar BeamTrailblazeWild Charge
0586,Sawsbuck Summer Form,Normal Grass,198,146,190,15%,0%,Feint AttackTake Down,Hyper BeamMegahornSolar BeamTrailblazeWild Charge
0586,Sawsbuck Winter Form,Normal Grass,198,146,190,20%,0%,Feint AttackTake Down,Hyper BeamMegahornSolar BeamTrailblazeWild Charge
0587,Emolga,Electric Flying,158,127,146,20%,7%,Quick AttackThunder Shock,AcrobaticsAerial AceDischargeThunderbolt
0588,Karrablast,Bug,137,87,137,30%,10%,Fury CutterPeck,Aerial AceDrill RunSignal BeamX-Scissor
0589,Escavalier,Bug Steel,223,187,172,12.5%,5%,Bug BiteCounter,Acid SprayAerial AceDrill RunMegahorn
0590,Foongus,Grass Poison,97,91,170,30%,10%,AstonishFeint Attack,Body SlamEnergy BallGrass KnotFrustration (Shadow)Return (Purified)
0591,Amoonguss,Grass Poison,155,139,249,12.5%,5%,AstonishFeint Attack,Foul PlayGrass KnotSludge BombFrustration (Shadow)Return (Purified)
0592,Frillish Male,Water Ghost,115,134,146,30%,9%,BubbleHex,Ice BeamNight ShadeOminous Wind
0592,Frillish Female,Water Ghost,115,134,146,30%,9%,BubbleHex,Ice BeamNight ShadeOminous Wind
0593,Jellicent Male,Water Ghost,159,178,225,12.5%,5%,BubbleHex,Bubble BeamIce BeamShadow BallSurf
0593,Jellicent Female,Water Ghost,159,178,225,12.5%,5%,BubbleHex,Bubble BeamIce BeamShadow BallSurf
0594,Alomomola,Water,138,131,338,20%,7%,Hidden PowerWaterfall,BlizzardHydro PumpPsychic
0595,Joltik,Bug Electric,110,98,137,30%,10%,Charge BeamSucker Punch,Bug BuzzCross PoisonDischargeFrustration (Shadow)Return (Purified)
0596,Galvantula,Bug Electric,201,128,172,12.5%,5%,Fury CutterVolt Switch,Bug BuzzCross PoisonDischargeEnergy BallLungeFrustration (Shadow)Return (Purified)
0597,Ferroseed,Grass Steel,82,155,127,30%,9%,Metal ClawTackle,Flash CannonGyro BallIron HeadFrustration (Shadow)Return (Purified)
0598,Ferrothorn,Grass Steel,158,223,179,12.5%,5%,Bullet SeedMetal Claw,Acid SprayFlash CannonMirror ShotPower WhipThunderFrustration (Shadow)Return (Purified)
0599,Klink,Steel,98,121,120,40%,10%,Charge BeamVolt Switch,DischargeVise GripZap Cannon
0600,Klang,Steel,150,174,155,10%,7%,Charge BeamThunder Shock,ThunderboltVise GripZap Cannon
0601,Klinklang,Steel,199,214,155,5%,5%,Charge BeamThunder Shock,Flash CannonHyper BeamMirror ShotZap Cannon
0602,Tynamo,Electric,105,78,111,40%,15%,SparkTackle,Struggle
0603,Eelektrik,Electric,156,130,163,10%,7%,AcidSpark,CrunchDischargeThunderbolt
0604,Eelektross,Electric,217,152,198,5%,5%,AcidSpark,Acid SprayCrunchDragon ClawLiquidationThunderbolt
0605,Elgyem,Psychic,148,100,146,30%,10%,AstonishConfusion,Dark PulsePsybeamPsychic
0606,Beheeyem,Psychic,221,163,181,15%,5%,AstonishConfusion,Dark PulsePsychicRock Slide
0607,Litwick,Ghost Fire,108,98,137,40%,9%,AstonishEmber,Flame BurstFlame ChargeHeat WaveMystical FireFrustration (Shadow)Return (Purified)
0608,Lampent,Ghost Fire,169,115,155,10%,7%,AstonishEmber,Energy BallFlame BurstHeat WaveFrustration (Shadow)Return (Purified)
0609,Chandelure,Ghost Fire,271,182,155,5%,5%,Fire SpinHexIncinerate,Energy BallFlame ChargeOverheatShadow BallPoltergeist (Community Day)Frustration (Shadow)Return (Purified)
0610,Axew,Dragon,154,101,130,40%,9%,Iron TailScratch,Aqua TailDragon ClawDragon Pulse
0611,Fraxure,Dragon,212,123,165,10%,7%,Dragon TailIron Tail,Aqua TailDragon ClawNight Slash
0612,Haxorus,Dragon,284,172,183,5%,5%,CounterDragon Tail,Dragon ClawEarthquakeNight SlashSurfBreaking Swipe (Community Day)
0613,Cubchoo,Ice,128,74,146,30%,10%,CharmPowder Snow,Ice PunchIcy WindPlay Rough
0614,Beartic,Ice,233,152,216,15%,5%,CharmPowder Snow,Ice PunchLiquidationPlay RoughSurf
0615,Cryogonal,Ice,190,218,190,20%,7%,Frost BreathIce Shard,Aurora BeamNight SlashSolar BeamTriple AxelWater Pulse
0616,Shelmet,Bug,72,140,137,30%,10%,AcidInfestation,Body SlamBug BuzzSignal Beam
0617,Accelgor,Bug,220,120,190,15%,5%,AcidInfestationWater Shuriken,Acid SprayBug BuzzFocus BlastSignal Beam
0618,Stunfisk,Ground Electric,144,171,240,20%,7%,Mud ShotThunder Shock,DischargeMud BombMuddy WaterFrustration (Shadow)Return (Purified)
0618,Stunfisk Galarian Stunfisk,Ground Steel,144,171,240,20%,7%,Metal ClawMud Shot,EarthquakeFlash CannonMuddy WaterRock SlideFrustration (Shadow)Return (Purified)
0619,Mienfoo,Fighting,160,98,128,30%,10%,Low KickPound,Brick BreakFocus BlastLow Sweep
0620,Mienshao,Fighting,258,127,163,15%,5%,Low KickPoison Jab,Blaze KickBrick BreakGrass KnotStone Edge
0621,Druddigon,Dragon,213,170,184,20%,7%,BiteDragon Tail,Dragon ClawHyper BeamNight Slash
0622,Golett,Ground Ghost,127,92,153,30%,10%,AstonishMud-Slap,Brick BreakNight ShadeShadow PunchFrustration (Shadow)Return (Purified)
0623,Golurk,Ground Ghost,222,154,205,15%,5%,AstonishMud-Slap,Dynamic PunchEarth PowerPoltergeistShadow PunchFrustration (Shadow)Return (Purified)
0624,Pawniard,Dark Steel,154,114,128,30%,9%,Fury CutterScratch,Iron HeadNight SlashX-Scissor
0625,Bisharp,Dark Steel,232,176,163,15%,5%,Metal ClawSnarl,Dark PulseFocus BlastIron HeadX-Scissor
0626,Bouffalant,Normal,195,182,216,20%,7%,Mud ShotZen Headbutt,EarthquakeMegahornSkull BashStomp
0627,Rufflet,Normal Flying,150,97,172,30%,10%,PeckWing Attack,Aerial AceBrave BirdFlyRock Tomb
0628,Braviary,Normal Flying,232,152,225,15%,5%,Air SlashSteel Wing,Brave BirdClose CombatFlyHeat WaveRock Slide
0628,Braviary Hisuian Braviary,Psychic Flying,213,137,242,15%,5%,Air SlashZen Headbutt,Brave BirdDazzling GleamFlyOminous WindPsychic
0629,Vullaby,Dark Flying,105,139,172,30%,10%,Air SlashFeint Attack,Brave BirdDark PulseFoul Play
0630,Mandibuzz,Dark Flying,129,205,242,15%,5%,Air SlashSnarl,Aerial AceDark PulseFoul PlayShadow Ball
0631,Heatmor,Fire,204,129,198,20%,7%,Fire SpinLick,FlamethrowerPower-Up PunchThunder Punch
0632,Durant,Bug Steel,217,188,151,20%,7%,Bug BiteMetal Claw,Iron HeadStone EdgeX-Scissor
0633,Deino,Dark Dragon,116,93,141,40%,9%,Dragon BreathTackle,Body SlamCrunchDragon Pulse
0634,Zweilous,Dark Dragon,159,135,176,10%,7%,BiteDragon Breath,Body SlamDark PulseDragon Pulse
0635,Hydreigon,Dark Dragon,256,188,211,5%,5%,BiteDragon Breath,Dark PulseDragon PulseFlash CannonBrutal Swing (Community Day)
0636,Larvesta,Bug Fire,156,107,146,70%,15%,Bug BiteEmber,Bug BuzzFlame ChargeFlame Wheel
0637,Volcarona,Bug Fire,264,189,198,10%,7%,Bug BiteFire Spin,Bug BuzzHurricaneOverheatSolar Beam
0638,Cobalion,Steel Fighting,192,229,209,2%,1%,Double KickMetal ClawZen Headbutt,Close CombatIron HeadStone EdgeSacred Sword (legacy)
0639,Terrakion,Rock Fighting,260,192,209,2%,1%,Double KickSmack DownZen Headbutt,Close CombatEarthquakeRock SlideSacred Sword (legacy)
0640,Virizion,Grass Fighting,192,229,209,2%,1%,Double KickQuick AttackZen Headbutt,Close CombatLeaf BladeStone EdgeSacred Sword (legacy)
0641,Tornadus Incarnate Forme,Flying,266,164,188,2%,1%,Air SlashBite,Dark PulseGrass KnotHurricaneHyper Beam
0641,Tornadus Therian Forme,Flying,238,189,188,2%,1%,AstonishGust,Focus BlastHeat WaveHurricanePsychicBleakwind Storm (legacy)
0642,Thundurus Incarnate Forme,Electric Flying,266,164,188,2%,1%,AstonishThunder Shock,Brick BreakCrunchThunderThunder Punch
0642,Thundurus Therian Forme,Electric Flying,295,161,188,2%,1%,BiteVolt Switch,Focus BlastSludge WaveThunderThunderboltWildbolt Storm (legacy)
0643,Reshiram,Dragon Fire,275,211,205,2%,1%,Dragon BreathFire Fang,CrunchDraco MeteorOverheatStone EdgeFusion Flare (legacy)
0644,Zekrom,Dragon Electric,275,211,205,2%,1%,Charge BeamDragon Breath,CrunchFlash CannonOutrageWild ChargeFusion Bolt (legacy)
0645,Landorus Incarnate Forme,Ground Flying,261,182,205,2%,1%,Mud ShotRock Throw,Earth PowerFocus BlastOutrageRock Slide
0645,Landorus Therian Forme,Ground Flying,289,179,205,2%,1%,ExtrasensoryMud Shot,BulldozeEarthquakeStone EdgeSuperpowerSandsear Storm (legacy)
0646,Kyurem,Dragon Ice,246,170,245,2%,1%,Dragon BreathSteel Wing,BlizzardDraco MeteorDragon ClawGlaciate (legacy)
0647,Keldeo Ordinary Form,Water Fighting,260,192,209,2%,1%,Low KickPoison Jab,Aqua JetClose CombatHydro PumpSacred SwordX-Scissor
0648,Meloetta Aria Forme,Normal Psychic,250,225,225,100%,0%,ConfusionQuick Attack,Dazzling GleamHyper BeamPsyshockThunderbolt
0649,Genesect,Bug Steel,252,199,174,2%,1%,Fury CutterMetal Claw,Hyper BeamMagnet BombX-Scissor
0649,Genesect Burn Drive,Bug Steel,252,199,174,2%,1%,Fury CutterMetal Claw,FlamethrowerMagnet BombX-ScissorTechno Blast - Fire (legacy)
0649,Genesect Chill Drive,Bug Steel,252,199,174,2%,1%,Fury CutterMetal Claw,Ice BeamMagnet BombX-ScissorTechno Blast - Ice (legacy)
0649,Genesect Douse Drive,Bug Steel,252,199,174,2%,1%,Fury CutterMetal Claw,Gunk ShotMagnet BombX-ScissorTechno Blast - Water (legacy)
0649,Genesect Shock Drive,Bug Steel,252,199,174,2%,1%,Fury CutterMetal Claw,Magnet BombX-ScissorZap CannonTechno Blast - Electric (legacy)
0650,Chespin,Grass,110,106,148,20%,10%,Take DownVine Whip,Body SlamGyro BallSeed Bomb
0651,Quilladin,Grass,146,156,156,10%,10%,Low KickVine Whip,Body SlamEnergy BallGyro Ball
0652,Chesnaught,Grass Fighting,201,204,204,5%,10%,Low KickSmack DownVine Whip,Energy BallGyro BallSolar BeamSuperpowerFrenzy Plant (Community Day)
0653,Fennekin,Fire,116,102,120,20%,10%,EmberScratch,Flame ChargeFlamethrowerPsyshock
0654,Braixen,Fire,171,130,153,10%,10%,EmberScratch,Flame ChargeFlamethrowerPsyshock
0655,Delphox,Fire Psychic,230,189,181,5%,10%,Fire SpinScratchZen Headbutt,Fire BlastFlame ChargeFlamethrowerMystical FirePsychicBlast Burn (Community Day)
0656,Froakie,Water,122,84,121,20%,10%,BubblePound,Aerial AceSurfWater Pulse
0657,Frogadier,Water,168,114,144,10%,10%,BubblePound,Aerial AceSurfWater Pulse
0658,Greninja,Water Dark,223,152,176,5%,10%,BubbleFeint AttackWater Shuriken,Aerial AceHydro PumpNight SlashSurfHydro Cannon (Community Day)
0659,Bunnelby,Normal,68,72,116,50%,10%,Mud-SlapQuick Attack,BulldozeDigEarthquake
0660,Diggersby,Normal Ground,112,155,198,20%,10%,Mud ShotQuick Attack,DigEarthquakeFire PunchHyper BeamScorching Sands
0661,Fletchling,Normal Flying,95,80,128,50%,20%,PeckQuick Attack,Aerial AceFlyHeat WaveSwift
0662,Fletchinder,Fire Flying,145,110,158,25%,9%,EmberPeckSteel Wing,Aerial AceFlame ChargeFlyHeat Wave
0663,Talonflame,Fire Flying,176,155,186,12.5%,5%,Fire SpinPeckSteel WingIncinerate (Community Day),Brave BirdFire BlastFlame ChargeFlyHurricane
0664,Scatterbug,Bug,63,63,116,50%,20%,Bug BiteTackle,Struggle
0665,Spewpa,Bug,48,89,128,25%,9%,Struggle Bug,Struggle
0666,Vivillon Meadow Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Archipelago Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Continental Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Elegant Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Garden Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon High Plains Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Icy Snow Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Jungle Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Marine Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Modern Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
0666,Vivillon Monsoon Pattern,Bug Flying,176,103,190,12.5%,6%,GustStruggle Bug,Aerial AceBug BuzzEnergy BallHurricane
